,Albania,Andorra,Austria,Belarus,Belgium,Bosnia and Herzegovina,Bulgaria,Croatia,Czechia,Estonia,Finland,Germany,Greece,Hungary,Iceland,Ireland,Italy,Kosovo,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Ukraine,Denmark,France,Netherlands,United Kingdom
2021-08-08,133912,14836,658219,453932,1136726,206106,428049,365045,1674906,135076,112906,3784433,514192,809855,8793,312465,4396417,109931,139421,3205,286548,74262,34846,260630,2974,103722,158025,140836,2884098,986967,1084919,6362641,5183,725702,776988,260109,4588132,1104538,723968,2344260,323786,6208172,1887831,6089620
2021-08-15,135947,14924,663488,461303,1149869,207076,433234,367022,1676222,136992,118183,3810641,537125,810316,9522,324747,4440669,116247,140122,3268,290351,74595,35337,262044,3059,106196,162164,144484,2885333,1003335,1087223,6511431,5222,732044,777640,261428,4693540,1110147,735375,2355317,330777,6360422,1904128,6288525
2021-08-22,139324,14988,671097,469717,1163726,209073,441295,369765,1677512,138807,122568,3853055,559186,810781,10115,337117,4484613,129309,141045,3341,294322,74985,35774,264432,3133,109962,168872,148608,2886698,1019420,1090925,6653498,5255,742313,778450,263547,4770453,1116584,752761,2368150,337466,6490758,1921159,6514740
2021-08-29,144847,15025,680191,479306,1177909,212306,451599,373191,1678862,141344,126767,3913828,581315,811706,10658,349773,4530246,142671,142319,3379,298478,75517,36089,266988,3183,114364,175330,157040,2888231,1034947,1096753,6785465,5314,757617,779460,266514,4831809,1123413,770765,2381553,344088,6605068,1938743,6753899
2021-09-05,150997,15055,690933,490926,1192008,216124,462033,377838,1680559,143788,130779,3984353,599951,813040,11032,356819,4571440,152169,144518,3443,303380,76102,36475,270219,3234,118104,180045,167265,2890484,1047047,1106008,6912375,5345,779723,781455,270307,4877755,1130525,785696,2397758,348979,6686620,1956348,7001127
2021-09-12,157026,15083,704755,503073,1205516,220636,471272,383915,1683179,146707,133994,4059081,615157,814732,11247,366659,4606413,157002,147193,3496,309330,76632,36758,274812,3276,121908,183523,176142,2893649,1055584,1120804,7037435,5373,816912,785184,276174,4907461,1138017,808058,2419254,352373,6747479,1972653,7249784
2021-09-19,162953,15124,718988,516428,1219814,225857,482186,391984,1686182,149776,136809,4125878,630784,817159,11404,375367,4636111,159107,150560,3528,317090,77189,36972,281700,3290,126259,186914,182239,2897935,1062048,1148710,7170069,5412,865686,790957,283479,4929546,1144982,823078,2453240,354645,6792074,1986241,7453677
2021-09-26,167893,15167,730728,530203,1233723,230801,492861,399891,1689364,153536,139759,4181393,645969,820078,11632,384677,4660314,159870,154786,3553,326370,77762,37090,289025,3303,129648,189887,186935,2903234,1066945,1194106,7313112,5427,911066,798722,289670,4946601,1149407,833385,2500198,357037,6826766,1997885,7688663
2021-10-03,171794,15222,743174,543976,1247197,235536,505994,408699,1693790,158357,143614,4237619,661308,823384,11839,393626,4682034,160193,161641,3559,338235,78326,37197,297232,3314,132696,192478,190533,2910866,1071114,1265827,7474850,5440,961006,808960,295858,4961128,1153655,841573,2566875,360031,6857385,2009648,7925606
2021-10-10,174968,15291,756011,557772,1261102,240094,520862,417858,1699743,164618,147847,4293807,676799,827410,12147,403157,4700316,160386,171276,3567,353088,79018,37347,306647,3335,135298,194891,193562,2922401,1075312,1356640,7658923,5466,1005168,821714,301458,4973619,1157822,848418,2657699,363900,6883692,2026402,8179893
2021-10-17,177971,15338,770102,571987,1279869,243914,540619,427914,1708925,172514,151649,4354158,693886,833115,12455,415114,4717899,160540,185614,3584,369966,79720,37453,316529,3358,137769,197091,196351,2939590,1079806,1457260,7870529,5473,1048835,837146,308136,4984386,1161933,854591,2757328,368651,6914305,2051065,8475745
2021-10-24,181696,15404,791769,586234,1312360,247958,569443,445325,1729458,182039,155272,4437280,716358,843825,12899,429877,4741185,160635,202573,3623,389795,80603,37551,328000,3389,140922,199766,200517,2972927,1085138,1561928,8112999,5497,1098209,862348,319913,4997732,1165996,862411,2898049,376414,6949168,2087859,8801393
